participant_number,ResponseId,has_conversation,conversation_id,UserID,MatchMethod,data_status,treatment,testscore,MessageCount,ConversationDurationMinutes,Session,start_time_unix
1,R_2YrX7B6LLgDiXaH,False,,,,No conversation data,Control,9.0,0.0,0.0,,
2,R_81h5GKDmEdrx0GJ,True,6751c42b-acd4-8010-9cce-5c945ce8ced9,,ExplicitID,Complete,AI-assisted,5.0,6.0,0.0,Session 1,1732770000.0
3,R_89xi5k2HqzeKlxL,False,,,,No conversation data,AI-assisted,6.0,0.0,0.0,,
4,R_8fTvMMXoB939sBz,True,674efe52-5750-800d-87ba-926471fc38cd,,ExplicitID,Duplicate,AI-assisted,7.0,31.0,0.0,Unknown Session,1733199120.0
5,R_82tVJx9okB5OKA1,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
6,R_8jgEcFv6MClM2it,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
7,R_86nbBmMxJXVn9Kr,True,674da33b-b034-8012-8dd7-b7cd9fb964e4,Generated_02122024_1308,PromptData,Recovered from promptdata,AI-assisted,9.0,36.0,15.030816400051116,Unknown Session,1733212380.0
8,R_2bJGScq1Sy6Chsz,True,674edc3d-4408-8002-b94c-6d32a573741d,Generated_03122024_1123,PromptData,Recovered from promptdata,AI-assisted,8.0,48.0,20.81125369866689,Unknown Session,1733216880.0
9,R_28hngkufX8Dcjgl,True,67486406-1674-8009-8962-1cf4e5beddc6,,ExplicitID,Complete,AI-assisted,8.0,4.0,0.0,Unknown Session,1733221500.0
10,R_2ckqOJsblpXwZZ4,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
11,R_2ZOtvsPWKQqsdj3,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
12,R_2ESbMx5RFZUw13Z,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
13,R_2XLJYIle88EM7Hb,False,,,,No conversation data,AI-assisted,6.0,0.0,0.0,,
14,R_8v0AcsCq2zXBM0F,True,675050af-f084-8008-8ebd-1a1de1ad32ed,Generated_04122024_1353,PromptData,Recovered from promptdata,AI-assisted,9.0,42.0,17.238211448987325,Unknown Session,1733298960.0
15,R_2RV6SEA3Y0y3iub,True,67507416-f6fc-8013-a8ee-6f7ae115468d,Generated_04122024_1624,PromptData,Recovered from promptdata,AI-assisted,6.0,16.0,14.454881465435028,Unknown Session,1733303340.0
16,R_2U3frWxT15wXgNs,True,675029ba-a330-8001-b58c-a5591d5e2a18,,RecoveredData,Recovered,AI-assisted,3.0,0.0,0.0,Unknown Session,1733307540.0
17,R_2S8NBgTZocTf6yt,False,,,,No conversation data,AI-assisted,12.0,0.0,0.0,,
18,R_8BXfzDlyRcERJQq,True,675182e8-8934-8008-ba8d-99b92caa557a,Generated_05122024_1139,PromptData,Recovered from promptdata,AI-assisted,9.0,4.0,0.0631635308265686,Unknown Session,1733385240.0
19,R_8SHOwbT0jtDFOHn,True,6751d8b0-f324-8001-81ee-5cc12822fc41,,RecoveredData,Recovered,AI-assisted,6.0,0.0,0.0,Unknown Session,1733390160.0
20,R_8PRIzzoVIIOh3EZ,False,,AutoID_VIIOh3EZ,,Missing conversation,Control,10.0,0.0,0.0,Session 1,1732762620.0
21,R_2QLMZo8ihSAYAbl,True,67486288-3f38-8013-bd0c-101cc1692241,Generated_28112024_1331,PromptData,Recovered from promptdata,AI-assisted,10.0,18.0,11.106418347358703,Session 1,1732770000.0
22,R_2gzI0KuYqLGPkOj,False,,,,No conversation data,AI-guided,7.0,0.0,0.0,,
23,R_24ArDOMEaUdCL2V,False,,,,No conversation data,AI-assisted,11.0,0.0,0.0,,
24,R_82FkHZiUiHzbz3P,True,674efdda-6028-8008-af5e-2be83ad87939,,Timestamp,Complete,AI-assisted,8.0,3.0,0.0,Unknown Session,1733199120.0
25,R_8wouM6jVALkKe4A,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
26,R_2kYLjsIHMGF2tTt,True,674efdda-6028-8008-af5e-2be83ad87939,Generated_03122024_1347,PromptData,Recovered from promptdata,AI-assisted,9.0,2.0,0.0088248332341512,Unknown Session,1733212380.0
27,R_838G1KIkokJlWcq,True,674eefef-99c0-8002-b28c-6d1acc07e608,Generated_03122024_1247,PromptData,Recovered from promptdata,AI-assisted,10.0,10.0,34.11343496640523,Unknown Session,1733216880.0
28,R_8Nm1yRtY7vKjQYY,True,674f0355-8900-8001-91af-68750c07f9e5,,RecoveredData,Recovered,AI-assisted,7.0,0.0,0.0,Unknown Session,1733221500.0
29,R_81Bk3vIbvTNt5lP,True,67502ba7-b380-8007-95f3-66c7c7d6cf72,,Timestamp,Complete,AI-assisted,9.0,48.0,0.0,Unknown Session,1733279220.0
30,R_2s5stVU4dWQng0B,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
31,R_20ocwvS27vKryap,True,67506d12-5a28-8008-b8a3-07643b4d8db9,,Timestamp,Complete,AI-assisted,3.0,4.0,0.0,Unknown Session,1733290020.0
32,R_8Djw6UCuYNSPiAk,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
33,R_81bB9caZ7BGY9t7,True,67506171-9620-8013-9ed4-2eef0d4d8e43,Generated_04122024_1504,PromptData,Recovered from promptdata,AI-assisted,9.0,36.0,16.296903582413993,Unknown Session,1733303340.0
34,R_2xyFtyUerHApC5u,True,675029ba-a330-8001-b58c-a5591d5e2a18,Generated_04122024_1106,PromptData,Recovered from promptdata,AI-assisted,4.0,12.0,37.34853343168894,Unknown Session,1733307540.0
35,R_8b3L27gHvUqzP3I,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
36,R_2c5i0dIWVTvRs5I,True,6751d4e7-f9c0-800c-9482-10d192afdc24,,Timestamp,Complete,AI-assisted,8.0,39.0,0.0,Unknown Session,1733385240.0
37,R_2pYaB6oRGt1dja4,True,6751c400-b6c4-8001-b67f-859a87c2692f,,RecoveredData,Recovered,AI-assisted,9.0,0.0,0.0,Unknown Session,1733390160.0
38,R_8w129IY0S3mU0IF,False,,AutoID_0S3mU0IF,,Missing conversation,Control,5.0,0.0,0.0,Session 1,1732762620.0
39,R_8QFMPfV7dJ2oMeM,True,6748612d-c46c-8008-9a1e-0269d57a4fb1,Generated_28112024_1325,PromptData,Recovered from promptdata,AI-assisted,5.0,4.0,14.368676122029624,Session 1,1732770000.0
40,R_2qfFvfpxeUcrT20,True,674da5ff-c5e0-8007-b3c9-5faf7fdd3d94,,Timestamp,Complete,AI-guided,10.0,43.0,0.0,Unknown Session,1733112540.0
41,R_2rPhW2e1PRPslJC,False,,,,No conversation data,AI-assisted,12.0,0.0,0.0,,
42,R_8cvpscYIiHvnK6d,True,674efdb5-9978-8007-bbc0-abfc0b195656,,Timestamp,Duplicate,AI-assisted,7.0,29.0,0.0,Unknown Session,1733199120.0
43,R_2D2BmKGPSZ4c6tP,False,,,,No conversation data,AI-assisted,11.0,0.0,0.0,,
44,R_8pR68CZX9jwGlcB,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
45,R_2fUCZukoRaAwccp,True,674f00d0-b794-8008-a2ba-d8837b71519f,Generated_03122024_1400,PromptData,Recovered from promptdata,AI-assisted,11.0,8.0,12.069118332862852,Unknown Session,1733212380.0
46,R_89diZZs7lga7B2g,True,674f34c6-d01c-8007-8455-f7bb971cf8a3,Generated_03122024_1741,PromptData,Recovered from promptdata,AI-assisted,9.0,57.0,13.5903457681338,Unknown Session,1733216880.0
47,R_2LnFUscidwlFx60,True,674efe79-840c-8001-90d5-887c4d79676c,,RecoveredData,Recovered,AI-assisted,9.0,0.0,0.0,Unknown Session,1733221500.0
48,R_8aXll9OJMOYXbWX,True,67502ba9-fc50-8008-8521-2c82152c180e,,Timestamp,Duplicate,AI-assisted,6.0,3.0,0.0,Unknown Session,1733279220.0
49,R_20ASZea1i6dqWav,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
50,R_2L0LaQIyGQQS3Nn,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
